LeadID,Company,Industry,DealStage,DealValue,Probability,Owner,LastContactDate,NextStep,DaysInStage,Notes,ReasonLost,Region,Source
L-2025-0157,Soylent Industries,Agency,Discovery,"$8,401",26%,Olivia Davis,2025-12-10,,22,Looking to replace legacy tool; timeline depends on budget approval.,,APAC,Outbound
L-2025-0158,Bridgepoint Group,Ecom,Closed Lost,"$177,011",18%,Olivia Davis,2025-11-19,Request feedback,51,Looking to replace legacy tool; timeline depends on budget approval.,No budget,NA,Inbound
L-2025-0159,Crescent Logistics,Agency,Negotiation,"$241,874",77%,Liam Johnson,2025-01-30,Finalize redlines,11,Stakeholder change—new VP reviewing vendors.,,EMEA,Referral
L-2025-0160,Catalyst Systems,Services,Prospecting,"$2,666",18%,Sophia Kim,2025-04-30,Send one-pager,19,Trial went well; asked for reference customer call.,,APAC,Outbound
L-2025-0161,Meridian Group,SaaS,Proposal,"$21,734",48%,Sophia Kim,2025-10-18,Align on scope,33,Competitor also in evaluation; we need stronger ROI case.,,EMEA,Partner
L-2025-0162,Silverline Holdings,Manufacturing,Closed Won,"$4,305",100%,Mia Rodriguez,2025-06-22,Handoff to CS,40,Trial went well; asked for reference customer call.,,EMEA,Referral
L-2025-0163,novaworks holdings,SaaS,Negotiation,"$14,910",64%,Ethan Brown,2025-02-16,Executive call,43,Requested security documentation and SOC2 report.,,EMEA,Outbound
L-2025-0164,Wayne Media,Other,Discovery,"$3,574",26%,Ava Chen,2025-05-13,Schedule discovery call,27,Interested in improving reporting and reducing manual work.,,APAC,Referral
L-2025-0165,CloudNine Systems,Ecom,Proposal,"$205,662",48%,Mia Rodriguez,2025-02-10,Send proposal,21,Looking to replace legacy tool; timeline depends on budget approval.,,EMEA,Referral
L-2025-0166,Cyberdyne Labs,Manufacturing,Discovery,"$130,587",44%,Ava Chen,2025-07-19,Map stakeholders,19,Concerned about implementation resources; prefers guided onboarding.,,EMEA,Referral
L-2025-0167,Beacon Systems,Agency,Closed Won,"$49,089",100%,Ethan Brown,2025-04-04,Send welcome pack,45,Needs integration with Salesforce and NetSuite.,,EMEA,Outbound
L-2025-0168,Synergy Systems,Manufacturing,Closed Won,"$402,469",100%,Olivia Davis,2025-11-24,Send welcome pack,44,Competitor also in evaluation; we need stronger ROI case.,,EMEA,Referral
L-2025-0169,Cyberdyne Group,SaaS,Discovery,"$44,040",32%,Sophia Kim,2025-04-05,Map stakeholders,29,Trial went well; asked for reference customer call.,,APAC,Outbound
L-2025-0170,Stonebridge Manufacturing,Ecom,Proposal,"$17,673",44%,Lucas Martin,2025-09-09,Review pricing options,33,Trial went well; asked for reference customer call.,,EMEA,Outbound
L-2025-0171,Vandelay AI,Services,Proposal,"$24,439",58%,Noah Patel,2025-05-17,Confirm decision date,30,Concerned about implementation resources; prefers guided onboarding.,,EMEA,Referral
L-2025-0172,Greenfield Technologies,Other,Prospecting,"$15,819",11%,Liam Johnson,2025-06-07,Cold call follow-up,16,Champion engaged; needs buy-in from Finance.,,APAC,Partner
L-2025-0173,Elevate Consulting,Services,Proposal,"$11,540",60%,Lucas Martin,2025-04-13,,22,Stakeholder change—new VP reviewing vendors.,,NA,Outbound
L-2025-0174,CATALYST CO,Other,Proposal,"$77,840",42%,Sophia Kim,2025-09-23,Send proposal,27,Champion engaged; needs buy-in from Finance.,,EMEA,Outbound
L-2025-0175,Vandelay Holdings,Ecom,Closed Won,"$24,851",100%,Ethan Brown,2025-07-04,Handoff to CS,48,Interested in improving reporting and reducing manual work.,,NA,Outbound
L-2025-0176,Evergreen Systems,Other,Negotiation,"$83,681",67%,Ava Chen,2025-09-17,Finalize redlines,14,Stakeholder change—new VP reviewing vendors.,,APAC,Outbound
L-2025-0177,Wayne Systems,Services,Proposal,"$2,790",63%,Olivia Davis,2025-01-10,Send proposal,27,Champion engaged; needs buy-in from Finance.,,NA,Outbound
L-2025-0178,BrightPath Digital,Manufacturing,Prospecting,"$21,321",24%,Lucas Martin,2025-01-14,,4,Pricing sensitivity—asked for phased rollout options.,,APAC,Referral
L-2025-0179,Evergreen Labs,Services,Negotiation,"$46,409",70%,Mia Rodriguez,2025-07-26,Executive call,27,,,NA,Referral
L-2025-0180,CloudNine Digital,Other,Closed Lost,"$120,328",20%,Ethan Brown,2025-03-10,,25,Looking to replace legacy tool; timeline depends on budget approval.,Price,NA,Outbound
